"participant","condsFile","order","trial","nTrip","totalListTime","meanListTime","totalShelfTime","meanShelfTime","totalTime","totalCorrect","meanCorrect","meanCorBefInc","totalInCorrect","meanIncorrect","maxCorrect","maxIncorrect","totalClickeds","meanclickeds","meanMU","datetime","Gender","Parent_reported_age","Grade","Ethnicity","Race","screen_use_days","screen_use_hour","screen_purpose","colorblindness","screen_age_started","intervention","languages","birthday.x","birthday.y","age","date","months","days","agebin"
2,"oneShot3.2","D",3,1,4.53781476058066,4.53781476058066,24.238892538473,24.238892538473,28.7767072990537,3,3,0,5,5,3,5,8,8,-2,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
2,"oneShotClosing","D",1,1,4.72728206031024,4.72728206031024,21.285349342972,21.285349342972,26.0126314032823,7,7,3,3,3,7,3,10,10,4,"12/15/2023 12:23:27","Male",4,"Pre-K / preschool / nursery school","Not Hispanic or Latino","Asian","3-4 days","0-1 hour","playing games, reading books, watching videos","No","2","No","No","1/17/2019","1/17/19",4.8,"12/15/23",58,29,"54.0-64.0"
4,"longDelay","B",1,3,24.3632906787097,8.12109689290325,90.058475587517,30.0194918625057,114.421766266227,6,2,2,4,1.33333333333333,2,2,10,3.33333333333333,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"longDelay","B",3,4,41.1002774834633,10.2750693708658,37.168730661273,9.29218266531825,78.2690081447363,6,1.5,1.5,0,0,2,0,6,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"longDelayClosing","B",1,1,9.87641984038055,9.87641984038055,70.7809119597077,70.7809119597077,80.6573318000883,4,4,1,6,6,4,6,10,10,-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"noDelay","B",1,4,26.6459342259914,6.66148355649784,80.6492901798338,20.1623225449584,107.295224405825,6,1.5,1.5,2,0.5,3,1,8,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"noDelay","B",2,8,50.0268921107054,6.25336151383817,71.5578118003905,8.94472647504881,121.584703911096,6,0.75,0.625,1,0.125,1,1,7,0.875,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"noDelay","B",3,6,38.1867962218821,6.36446603698035,52.478725284338,8.74645421405633,90.6655215062201,6,1,1,0,0,1,0,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"noDelayClosing","B",1,1,6.38249241933227,6.38249241933227,75.308030359447,75.308030359447,81.6905227787793,5,5,1,5,5,5,5,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"oneShot3.2","B",1,1,19.1149620804936,19.1149620804936,36.242309762165,36.242309762165,55.3572718426585,7,7,6,2,2,7,2,9,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"oneShot3.2","B",2,1,10.1787811797112,10.1787811797112,30.9545032195747,30.9545032195747,41.1332843992859,2,2,2,1,1,2,1,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"oneShot3.2","B",3,1,14.8262102808803,14.8262102808803,23.0924421604723,23.0924421604723,37.9186524413526,6,6,6,0,0,6,0,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
4,"oneShotClosing","B",1,1,44.8789057806134,44.8789057806134,69.1708883196115,69.1708883196115,114.049794100225,6,6,0,4,4,6,4,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5/20/19",4.5,"12/15/23",54,26,"54.0-64.0"
5,"longDelay","D",2,2,17.0527827795595,8.52639138977975,59.4223158806562,29.7111579403281,76.4750986602157,6,3,1.5,1,0.5,4,1,7,3.5,2.5,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"longDelay","D",3,3,34.078558402136,11.3595194673787,56.3903327584267,18.7967775861422,90.4688911605626,7,2.33333333333333,1.33333333333333,4,1.33333333333333,3,3,11,3.66666666666667,1,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"longDelayClosing","D",1,1,12.5476878620684,12.5476878620684,26.9725975003093,26.9725975003093,39.5202853623778,8,8,2,2,2,8,2,10,10,6,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"noDelay","D",1,2,13.8286091592163,6.91430457960814,71.5321584362537,35.7660792181268,85.36076759547,8,4,2,9,4.5,4,6,17,8.5,-0.5,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"noDelay","D",2,2,15.0692397765815,7.53461988829076,55.154360178858,27.577180089429,70.2235999554396,6,3,0,14,7,5,9,20,10,-4,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"noDelay","D",3,3,20.2495302390307,6.74984341301024,80.7190252188593,26.9063417396198,100.96855545789,10,3.33333333333333,0.666666666666667,11,3.66666666666667,6,7,21,7,-0.333333333333333,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"noDelayClosing","D",1,1,8.065076418221,8.065076418221,24.3222343809903,24.3222343809903,32.3873107992113,6,6,0,4,4,6,4,10,10,2,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"oneShot3.2","D",1,1,5.05890701897442,5.05890701897442,16.949912680313,16.949912680313,22.0088196992874,4,4,1,5,5,4,5,9,9,-1,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"oneShot3.2","D",2,1,6.26921142078936,6.26921142078936,32.7401315197349,32.7401315197349,39.0093429405242,5,5,2,4,4,5,4,9,9,1,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"oneShot3.2","D",3,1,5.71835451759398,5.71835451759398,15.4067997820675,15.4067997820675,21.1251542996615,5,5,0,4,4,5,4,9,9,1,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
5,"oneShotClosing","D",1,1,6.10458781942725,6.10458781942725,13.268462780863,13.268462780863,19.3730506002903,2,2,0,8,8,2,8,10,10,-6,"12/15/2023 15:22:47","Male",4.5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","1-2 days","1-2 hours","playing games, watching videos","No","3","Late to walk and talk (18 months)","No","4/24/2019","4/24/19",4.6,"12/15/23",55,21,"54.0-64.0"
6,"longDelay","B",1,5,31.0234030496795,6.20468060993589,39.1318102006335,7.8263620401267,70.155213250313,6,1.2,1.2,2,0.4,2,2,8,1.6,0.8,"1/5/2024 12:32:24","Female",5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","3-4 days","1-2 hours","playing games, reading books, watching videos","No","3","No","No","10/23/2018","10/23/18",5.2,"1/5/24",62,13,"54.0-64.0"
6,"longDelay","B",3,5,39.4778729497921,7.89557458995841,59.9574258504435,11.9914851700887,99.4352988002356,6,1.2,1.2,1,0.2,2,1,7,1.4,1,"1/5/2024 12:32:24","Female",5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","3-4 days","1-2 hours","playing games, reading books, watching videos","No","3","No","No","10/23/2018","10/23/18",5.2,"1/5/24",62,13,"54.0-64.0"
6,"longDelayClosing","B",1,1,4.03392075002193,4.03392075002193,23.8776672501117,23.8776672501117,27.9115880001336,6,6,1,4,4,6,4,10,10,2,"1/5/2024 12:32:24","Female",5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","3-4 days","1-2 hours","playing games, reading books, watching videos","No","3","No","No","10/23/2018","10/23/18",5.2,"1/5/24",62,13,"54.0-64.0"
6,"oneShot3.2","B",2,1,2.41903540003113,2.41903540003113,6.27960085007362,6.27960085007362,8.69863625010476,1,1,1,0,0,1,0,1,1,1,"1/5/2024 12:32:24","Female",5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","3-4 days","1-2 hours","playing games, reading books, watching videos","No","3","No","No","10/23/2018","10/23/18",5.2,"1/5/24",62,13,"54.0-64.0"
6,"oneShot3.2","B",3,1,1.80437279981561,1.80437279981561,9.44375150022097,9.44375150022097,11.2481243000366,1,1,1,0,0,1,0,1,1,1,"1/5/2024 12:32:24","Female",5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","3-4 days","1-2 hours","playing games, reading books, watching videos","No","3","No","No","10/23/2018","10/23/18",5.2,"1/5/24",62,13,"54.0-64.0"
6,"oneShotClosing","B",1,1,2.89027459989302,2.89027459989302,11.5795684501063,11.5795684501063,14.4698430499993,4,4,2,6,6,4,6,10,10,-2,"1/5/2024 12:32:24","Female",5,"Pre-K / preschool / nursery school","Not Hispanic or Latino","White","3-4 days","1-2 hours","playing games, reading books, watching videos","No","3","No","No","10/23/2018","10/23/18",5.2,"1/5/24",62,13,"54.0-64.0"
7,"longDelay","D",1,3,22.4209491997026,7.4736497332342,45.4977838601917,15.1659279533972,67.9187330598943,6,2,2,1,0.333333333333333,3,1,7,2.33333333333333,1.66666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"longDelay","D",2,5,26.8051066403277,5.36102132806554,64.7110733597074,12.9422146719415,91.5161800000351,8,1.6,1.6,0,0,3,0,8,1.6,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"longDelay","D",3,4,28.1590774203651,7.03976935509127,48.389753080206,12.0974382700515,76.5488305005711,6,1.5,1.5,0,0,3,0,6,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"longDelayClosing","D",1,1,3.83424386009574,3.83424386009574,41.5534784398042,41.5534784398042,45.3877222998999,6,6,3,4,4,6,4,10,10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"noDelay","D",1,7,31.2773854406551,4.46819792009358,62.9244643803686,8.98920919719551,94.2018498210236,6,0.857142857142857,0.857142857142857,2,0.285714285714286,1,2,8,1.14285714285714,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"noDelay","D",2,7,19.2904227997642,2.7557746856806,68.5539028805215,9.79341469721736,87.8443256802857,6,0.857142857142857,0.714285714285714,2,0.285714285714286,1,1,8,1.14285714285714,0.571428571428571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"noDelay","D",3,6,18.2654173800256,3.04423623000427,44.3282308599446,7.38803847665743,62.5936482399702,6,1,1,1,0.166666666666667,2,1,7,1.16666666666667,0.833333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"noDelayClosing","D",1,1,1.98979462007992,1.98979462007992,32.8300836801063,32.8300836801063,34.8198783001862,7,7,0,3,3,7,3,10,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"oneShot3.2","D",1,1,1.68833032017574,1.68833032017574,10.0795656798873,10.0795656798873,11.767896000063,2,2,2,3,3,2,3,5,5,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"oneShot3.2","D",2,1,1.81252932013012,1.81252932013012,14.2004996200558,14.2004996200558,16.0130289401859,3,3,0,4,4,3,4,7,7,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"oneShot3.2","D",3,1,2.28017251985148,2.28017251985148,6.61331057990901,6.61331057990901,8.89348309976049,1,1,0,2,2,1,2,3,3,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
7,"oneShotClosing","D",1,1,3.63418802013621,3.63418802013621,12.6502614801284,12.6502614801284,16.2844495002646,5,5,0,5,5,5,5,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11/4/18",5.2,"1/5/24",62,1,"54.0-64.0"
10,"longDelay","D",1,1,22.2054901500233,22.2054901500233,31.7817077001091,31.7817077001091,53.9871978501324,9,9,2,1,1,9,1,10,10,8,"1/5/2024 15:53:12","Female",6,"First grade","Not Hispanic or Latino","White","none","0","my child does not use a touchscreen device","No","Child does not use touchscreen (except for travel approximately once every other month)","No","No","3/15/2017","3/15/17",6.8,"1/5/24",81,21,"74.1-83.99"
10,"longDelay","D",2,1,17.2678179498762,17.2678179498762,39.4673481502105,39.4673481502105,56.7351661000866,9,9,8,1,1,9,1,10,10,8,"1/5/2024 15:53:12","Female",6,"First grade","Not Hispanic or Latino","White","none","0","my child does not use a touchscreen device","No","Child does not use touchscreen (except for travel approximately once every other month)","No","No","3/15/2017","3/15/17",6.8,"1/5/24",81,21,"74.1-83.99"
10,"longDelay","D",3,1,18.4957593500149,18.4957593500149,34.52221309999,34.52221309999,53.0179724500049,7,7,4,3,3,7,3,10,10,4,"1/5/2024 15:53:12","Female",6,"First grade","Not Hispanic or Latino","White","none","0","my child does not use a touchscreen device","No","Child does not use touchscreen (except for travel approximately once every other month)","No","No","3/15/2017","3/15/17",6.8,"1/5/24",81,21,"74.1-83.99"
10,"longDelayClosing","D",1,1,18.9236788500566,18.9236788500566,27.5826078499667,27.5826078499667,46.5062867000233,9,9,6,1,1,9,1,10,10,8,"1/5/2024 15:53:12","Female",6,"First grade","Not Hispanic or Latino","White","none","0","my child does not use a touchscreen device","No","Child does not use touchscreen (except for travel approximately once every other month)","No","No","3/15/2017","3/15/17",6.8,"1/5/24",81,21,"74.1-83.99"
10,"oneShot3.2","D",1,1,19.4170765001327,19.4170765001327,36.2975304997526,36.2975304997526,55.7146069998853,10,10,10,0,0,10,0,10,10,10,"1/5/2024 15:53:12","Female",6,"First grade","Not Hispanic or Latino","White","none","0","my child does not use a touchscreen device","No","Child does not use touchscreen (except for travel approximately once every other month)","No","No","3/15/2017","3/15/17",6.8,"1/5/24",81,21,"74.1-83.99"
10,"oneShot3.2","D",2,1,18.5692845997401,18.5692845997401,27.6411219998263,27.6411219998263,46.2104065995663,10,10,10,0,0,10,0,10,10,10,"1/5/2024 15:53:12","Female",6,"First grade","Not Hispanic or Latino","White","none","0","my child does not use a touchscreen device","No","Child does not use touchscreen (except for travel approximately once every other month)","No","No","3/15/2017","3/15/17",6.8,"1/5/24",81,21,"74.1-83.99"
10,"oneShot3.2","D",3,1,18.6514824000187,18.6514824000187,25.7845909001771,25.7845909001771,44.4360733001959,5,5,1,5,5,5,5,10,10,0,"1/5/2024 15:53:12","Female",6,"First grade","Not Hispanic or Latino","White","none","0","my child does not use a touchscreen device","No","Child does not use touchscreen (except for travel approximately once every other month)","No","No","3/15/2017","3/15/17",6.8,"1/5/24",81,21,"74.1-83.99"
10,"oneShotClosing","D",1,1,25.4069095000159,25.4069095000159,20.9180587499868,20.9180587499868,46.3249682500027,5,5,2,5,5,5,5,10,10,0,"1/5/2024 15:53:12","Female",6,"First grade","Not Hispanic or Latino","White","none","0","my child does not use a touchscreen device","No","Child does not use touchscreen (except for travel approximately once every other month)","No","No","3/15/2017","3/15/17",6.8,"1/5/24",81,21,"74.1-83.99"
11,"longDelay","B",1,3,11.5906639001332,3.86355463337774,45.4142229601275,15.1380743200425,57.0048868602607,6,2,2,4,1.33333333333333,3,3,10,3.33333333333333,0.666666666666667,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"longDelay","B",2,3,11.6380215003155,3.87934050010517,42.6319181399886,14.2106393799962,54.2699396403041,8,2.66666666666667,1.33333333333333,7,2.33333333333333,4,6,15,5,0.333333333333333,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"longDelay","B",3,3,7.31287335976958,2.43762445325653,29.8922915596049,9.96409718653498,37.2051649193745,8,2.66666666666667,2,7,2.33333333333333,4,6,15,5,0.333333333333333,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"longDelayClosing","B",1,1,5.63710086001083,5.63710086001083,12.1677414800506,12.1677414800506,17.8048423400614,3,3,0,7,7,3,7,10,10,-4,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"noDelay","B",1,5,12.2170814601704,2.44341629203409,29.9391368196812,5.98782736393623,42.1562182798516,6,1.2,1.2,0,0,2,0,6,1.2,1.2,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"noDelay","B",2,4,8.91569113940932,2.22892278485233,18.0623684595339,4.51559211488348,26.9780595989432,6,1.5,1.5,0,0,2,0,6,1.5,1.5,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"noDelay","B",3,5,10.0191021792125,2.0038204358425,21.9434444794897,4.38868889589794,31.9625466587022,6,1.2,1.2,0,0,2,0,6,1.2,1.2,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"noDelayClosing","B",1,1,5.52391881984659,5.52391881984659,27.5772861402947,27.5772861402947,33.1012049601413,6,6,3,4,4,6,4,10,10,2,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"oneShot3.2","B",1,1,2.52252517966554,2.52252517966554,4.93061127979308,4.93061127979308,7.45313645945862,2,2,2,1,1,2,1,3,3,1,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"oneShot3.2","B",2,1,2.22830811981112,2.22830811981112,5.12587237986736,5.12587237986736,7.35418049967848,2,2,2,0,0,2,0,2,2,2,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"oneShot3.2","B",3,1,1.53022521990351,1.53022521990351,14.2705551800318,14.2705551800318,15.8007803999353,5,5,0,4,4,5,4,9,9,1,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
11,"oneShotClosing","B",1,1,1.10295372013934,1.10295372013934,7.12583173974417,7.12583173974417,8.22878545988351,5,5,0,5,5,5,5,10,10,0,"1/5/2024 16:54:15","Male",6,"Kindergarten","Not Hispanic or Latino","White","3-4 days","0-1 hour","playing games, watching videos","No","2","No","No","1/22/2018","1/22/18",5.9,"1/5/24",71,14,"64.1-74.0"
